# CityPath R2
# name  x    y    z    r    duration_sec
A       0    0    550  0    4
B       120  0    520  0    6
C       120  0    510 -350  3
D       200  150  480  0    5
E       220  200  500  0    5
F       310  250  500 -300  3
G       300 -250  500  100  4
H       300 -200  500  200  4
I       250 -180  500  300  3
J       250  150  500  0    7
K       200 -100  480  0    7
L       100 -80   480  0    6
M       100 -50   480  0    5
# N       80   20   480  0    4
# O       60   50   480 -200  3
# P      -20   20   480  0    2
# Q       150  100  450 -300  4
# R       100  100  450  0    3
# S       120  100  450  0    3
# T       0    0    0    0    10
