map,iteration,drones,time
0,1,1,4.59
0,2,1,4.52
0,3,1,4.5
0,4,1,4.86
0,5,1,4.54
0,6,1,4.39
0,7,1,4.49
0,8,1,4.55
0,9,1,4.59
0,10,1,4.74
0,11,1,4.66
0,12,1,4.66
0,13,1,4.62
0,14,1,4.37
0,15,1,4.51
0,16,1,4.4
0,17,1,4.18
0,18,1,4.69
0,19,1,4.19
0,20,1,4.22
0,21,1,4.35
0,22,1,4.16
0,23,1,4.68
0,24,1,4.65
0,25,1,5.0
0,26,1,4.38
0,27,1,4.74
0,28,1,4.84
0,29,1,
0,30,1,4.75
0,1,2,2.7
0,2,2,2.37
0,3,2,2.29
0,4,2,2.62
0,5,2,2.46
0,6,2,2.47
0,7,2,2.61
0,8,2,2.64
0,9,2,2.33
0,10,2,2.72
0,11,2,2.23
0,12,2,2.45
0,13,2,2.54
0,14,2,2.29
0,15,2,2.49
0,16,2,2.58
0,17,2,2.42
0,18,2,2.41
0,19,2,2.29
0,20,2,2.48
0,21,2,2.31
0,22,2,2.26
0,23,2,2.35
0,24,2,2.26
0,25,2,2.32
0,26,2,2.23
0,27,2,2.33
0,28,2,2.51
0,29,2,2.42
0,30,2,2.57
0,1,3,1.79
0,2,3,1.8
0,3,3,1.66
0,4,3,1.66
0,5,3,1.46
0,6,3,1.66
0,7,3,1.9
0,8,3,1.75
0,9,3,1.99
0,10,3,1.72
0,11,3,1.8
0,12,3,1.62
0,13,3,1.8
0,14,3,1.5
0,15,3,1.53
0,16,3,1.65
0,17,3,1.86
0,18,3,1.65
0,19,3,1.61
0,20,3,1.57
0,21,3,1.58
0,22,3,1.79
0,23,3,1.87
0,24,3,1.84
0,25,3,1.74
0,26,3,1.57
0,27,3,1.9
0,28,3,1.66
0,29,3,1.67
0,30,3,1.75
1,1,1,4.0
1,2,1,4.32
1,3,1,4.43
1,4,1,4.25
1,5,1,3.93
1,6,1,4.32
1,7,1,4.18
1,8,1,4.16
1,9,1,4.44
1,10,1,4.54
1,11,1,4.31
1,12,1,4.12
1,13,1,4.22
1,14,1,4.35
1,15,1,4.14
1,16,1,4.35
1,17,1,4.41
1,18,1,3.96
1,19,1,4.26
1,20,1,4.55
1,21,1,4.16
1,22,1,4.27
1,23,1,4.27
1,24,1,4.19
1,25,1,4.33
1,26,1,4.37
1,27,1,4.13
1,28,1,4.44
1,29,1,4.28
1,30,1,4.26
1,1,2,2.24
1,2,2,2.23
1,3,2,2.32
1,4,2,2.08
1,5,2,2.23
1,6,2,2.33
1,7,2,2.25
1,8,2,2.31
1,9,2,2.07
1,10,2,1.99
1,11,2,2.38
1,12,2,2.19
1,13,2,2.25
1,14,2,2.24
1,15,2,2.11
1,16,2,2.17
1,17,2,2.15
1,18,2,2.16
1,19,2,2.06
1,20,2,2.54
1,21,2,2.15
1,22,2,2.27
1,23,2,2.24
1,24,2,2.11
1,25,2,2.16
1,26,2,2.13
1,27,2,2.34
1,28,2,2.27
1,29,2,2.25
1,30,2,2.27
1,1,3,1.8
1,2,3,1.61
1,3,3,1.49
1,4,3,1.53
1,5,3,1.32
1,6,3,1.63
1,7,3,1.48
1,8,3,1.68
1,9,3,1.52
1,10,3,1.42
1,11,3,1.72
1,12,3,1.42
1,13,3,1.53
1,14,3,1.67
1,15,3,1.47
1,16,3,1.43
1,17,3,1.41
1,18,3,1.63
1,19,3,1.31
1,20,3,1.49
1,21,3,1.66
1,22,3,1.76
1,23,3,1.4
1,24,3,1.65
1,25,3,1.44
1,26,3,1.51
1,27,3,1.34
1,28,3,1.4
1,29,3,
1,30,3,1.58
2,1,1,4.22
2,2,1,4.25
2,3,1,4.72
2,4,1,4.38
2,5,1,4.61
2,6,1,4.38
2,7,1,4.43
2,8,1,4.55
2,9,1,4.69
2,10,1,4.34
2,11,1,4.56
2,12,1,4.71
2,13,1,4.54
2,14,1,4.75
2,15,1,4.2
2,16,1,4.49
2,17,1,4.59
2,18,1,
2,19,1,4.34
2,20,1,4.43
2,21,1,4.66
2,22,1,4.49
2,23,1,4.76
2,24,1,4.47
2,25,1,4.61
2,26,1,4.48
2,27,1,4.59
2,28,1,4.41
2,29,1,4.66
2,30,1,4.41
2,1,2,2.32
2,2,2,2.2
2,3,2,2.1
2,4,2,2.38
2,5,2,2.24
2,6,2,2.31
2,7,2,2.27
2,8,2,2.5
2,9,2,2.22
2,10,2,2.34
2,11,2,2.38
2,12,2,2.24
2,13,2,2.29
2,14,2,2.2
2,15,2,2.25
2,16,2,2.22
2,17,2,2.67
2,18,2,2.27
2,19,2,2.23
2,20,2,2.39
2,21,2,2.19
2,22,2,2.35
2,23,2,2.31
2,24,2,2.41
2,25,2,2.22
2,26,2,2.32
2,27,2,2.28
2,28,2,2.44
2,29,2,2.41
2,30,2,2.39
2,1,3,1.9
2,2,3,1.45
2,3,3,1.56
2,4,3,1.53
2,5,3,1.68
2,6,3,1.43
2,7,3,1.54
2,8,3,1.56
2,9,3,1.78
2,10,3,2.05
2,11,3,1.58
2,12,3,1.6
2,13,3,1.75
2,14,3,1.84
2,15,3,1.71
2,16,3,1.57
2,17,3,1.65
2,18,3,1.49
2,19,3,1.76
2,20,3,1.46
2,21,3,1.63
2,22,3,1.44
2,23,3,1.49
2,24,3,1.46
2,25,3,1.78
2,26,3,1.6
2,27,3,1.64
2,28,3,1.76
2,29,3,1.54
2,30,3,1.51
3,1,1,4.74
3,2,1,4.62
3,3,1,5.09
3,4,1,4.92
3,5,1,4.9
3,6,1,4.6
3,7,1,5.03
3,8,1,4.94
3,9,1,
3,10,1,4.92
3,11,1,4.6
3,12,1,4.69
3,13,1,4.81
3,14,1,4.84
3,15,1,5.04
3,16,1,4.95
3,17,1,4.93
3,18,1,5.1
3,19,1,4.46
3,20,1,4.9
3,21,1,4.67
3,22,1,4.47
3,23,1,4.74
3,24,1,4.55
3,25,1,4.87
3,26,1,4.96
3,27,1,4.85
3,28,1,4.88
3,29,1,4.82
3,30,1,5.04
3,1,2,
3,2,2,2.47
3,3,2,2.24
3,4,2,2.37
3,5,2,2.52
3,6,2,2.4
3,7,2,2.14
3,8,2,2.24
3,9,2,2.04
3,10,2,2.17
3,11,2,2.4
3,12,2,2.52
3,13,2,2.19
3,14,2,2.47
3,15,2,2.47
3,16,2,2.32
3,17,2,2.19
3,18,2,2.29
3,19,2,2.4
3,20,2,2.25
3,21,2,2.29
3,22,2,2.48
3,23,2,2.15
3,24,2,2.29
3,25,2,2.2
3,26,2,2.48
3,27,2,2.32
3,28,2,2.3
3,29,2,2.75
3,30,2,2.24
3,1,3,2.2
3,2,3,1.59
3,3,3,1.61
3,4,3,1.71
3,5,3,1.96
3,6,3,1.52
3,7,3,
3,8,3,1.63
3,9,3,1.64
3,10,3,1.71
3,11,3,1.65
3,12,3,1.86
3,13,3,2.11
3,14,3,1.74
3,15,3,1.65
3,16,3,1.53
3,17,3,1.66
3,18,3,1.52
3,19,3,1.84
3,20,3,1.62
3,21,3,1.63
3,22,3,1.93
3,23,3,1.56
3,24,3,1.6
3,25,3,1.62
3,26,3,1.97
3,27,3,1.59
3,28,3,1.49
3,29,3,1.67
3,30,3,1.64
4,1,1,4.98
4,2,1,4.77
4,3,1,4.59
4,4,1,4.72
4,5,1,4.97
4,6,1,4.94
4,7,1,4.88
4,8,1,
4,9,1,
4,10,1,4.65
4,11,1,4.77
4,12,1,4.76
4,13,1,4.68
4,14,1,4.98
4,15,1,4.94
4,16,1,
4,17,1,4.65
4,18,1,4.77
4,19,1,
4,20,1,4.78
4,21,1,4.99
4,22,1,4.76
4,23,1,4.72
4,24,1,4.63
