map,iteration,drones,time
0,1,1,10.95
0,2,1,10.82
0,3,1,11.1
0,4,1,10.55
0,5,1,10.59
0,6,1,11.0
0,7,1,11.26
0,8,1,10.9
0,9,1,11.03
0,10,1,10.62
0,11,1,10.94
0,12,1,11.25
0,13,1,11.21
0,14,1,10.83
0,15,1,10.88
0,16,1,11.16
0,17,1,10.92
0,18,1,11.09
0,19,1,11.1
0,20,1,11.42
0,21,1,11.3
0,22,1,11.01
0,23,1,10.95
0,24,1,10.78
0,25,1,10.99
0,26,1,11.0
0,27,1,10.93
0,28,1,10.93
0,29,1,11.09
0,30,1,11.24
0,1,2,6.41
0,2,2,6.1
0,3,2,6.72
0,4,2,6.21
0,5,2,6.16
0,6,2,6.21
0,7,2,6.11
0,8,2,6.46
0,9,2,6.62
0,10,2,6.77
0,11,2,6.37
0,12,2,6.15
0,13,2,6.18
0,14,2,5.92
0,15,2,6.31
0,16,2,86.66
0,17,2,6.82
0,18,2,6.22
0,19,2,6.18
0,20,2,6.37
0,21,2,6.49
0,22,2,6.37
0,23,2,6.04
0,24,2,6.65
0,25,2,6.08
0,26,2,6.12
0,27,2,6.04
0,28,2,6.26
0,29,2,6.58
0,30,2,6.49
0,1,3,4.8
0,2,3,4.71
0,3,3,4.77
0,4,3,4.55
0,5,3,4.38
0,6,3,4.77
0,7,3,4.65
0,8,3,3.87
0,9,3,4.65
0,10,3,4.3
0,11,3,5.98
0,12,3,4.24
0,13,3,9.78
0,14,3,4.75
0,15,3,4.2
0,16,3,4.16
0,17,3,4.25
0,18,3,4.72
0,19,3,4.22
0,20,3,4.31
0,21,3,4.1
0,22,3,4.28
0,23,3,4.23
0,24,3,4.6
0,25,3,4.07
0,26,3,4.4
0,27,3,4.27
0,28,3,4.09
0,29,3,4.23
0,30,3,4.65
1,1,1,11.99
1,2,1,12.95
1,3,1,12.57
1,4,1,12.4
1,5,1,13.06
1,6,1,12.31
1,7,1,12.62
1,8,1,12.13
1,9,1,12.33
1,10,1,12.55
1,11,1,12.27
1,12,1,13.14
1,13,1,12.42
1,14,1,12.58
1,15,1,12.39
1,16,1,11.83
1,17,1,12.45
1,18,1,12.27
1,19,1,11.69
1,20,1,12.28
1,21,1,12.64
1,22,1,12.52
1,23,1,12.73
1,24,1,12.24
1,25,1,12.91
1,26,1,11.99
1,27,1,12.64
1,28,1,13.04
1,29,1,12.33
1,30,1,12.42
1,1,2,6.35
1,2,2,5.72
1,3,2,6.1
1,4,2,6.38
1,5,2,6.37
1,6,2,6.2
1,7,2,6.29
1,8,2,6.17
1,9,2,6.03
1,10,2,6.21
1,11,2,6.27
1,12,2,6.06
1,13,2,6.6
1,14,2,6.54
1,15,2,5.88
1,16,2,5.92
1,17,2,6.09
1,18,2,6.4
1,19,2,6.29
1,20,2,6.15
1,21,2,5.98
1,22,2,6.21
1,23,2,6.07
1,24,2,6.08
1,25,2,6.56
1,26,2,6.11
1,27,2,6.22
1,28,2,6.57
1,29,2,6.41
1,30,2,6.2
1,1,3,4.0
1,2,3,4.1
1,3,3,4.44
1,4,3,3.95
1,5,3,4.63
1,6,3,4.14
1,7,3,4.22
1,8,3,4.05
1,9,3,4.11
1,10,3,3.74
1,11,3,4.31
1,12,3,4.0
1,13,3,4.36
1,14,3,4.09
1,15,3,4.08
1,16,3,4.27
1,17,3,3.9
1,18,3,4.18
1,19,3,4.15
1,20,3,4.05
1,21,3,4.4
1,22,3,4.12
1,23,3,3.93
1,24,3,4.22
1,25,3,4.19
1,26,3,3.94
1,27,3,4.17
1,28,3,4.12
1,29,3,4.3
1,30,3,4.59
2,1,1,11.91
2,2,1,12.26
2,3,1,12.24
2,4,1,12.12
2,5,1,12.04
2,6,1,12.07
2,7,1,12.15
2,8,1,12.34
2,9,1,12.11
2,10,1,12.23
