ts,marker_id,color,det_u,det_v,gt_u,gt_v,pixel_err_px,roll_deg,pitch_deg,yaw_deg,gt_depth_geom_m,gt_depth_img_m,da3_raw_m,da3_lin_m,da3_quad_m,err_raw_m,err_lin_m,err_quad_m,jitter_m,gt_x_cam_m,gt_y_cam_m,gt_z_cam_m,blob_area_px,detected
720.268,da3_marker_red,red,196.48125,108.88888888888889,197,110,1.2262420086323036,-4.64018694351404e-254,-1.6829785851534886e-235,-7.61738175912992e-05,3.2236714363098145,3.218672752380371,3.164966106414795,2.195465536260605,2.052235750459536,0.05870532989501953,1.0282059000492096,1.1714356858502786,0.0,3.2236714363098145,1.2181429862976074,0.6883289813995361,52,1
720.268,da3_marker_purple,purple,201.6,131.34515366430261,203,132,1.5455820015050346,-4.64018694351404e-254,-1.6829785851534886e-235,-7.61738175912992e-05,3.2236716747283936,3.218672275543213,3.167383909225464,2.1966756465673445,2.053305050969345,0.05628776550292969,1.026996028161049,1.1703666237590484,0.0,3.2236716747283936,1.0981428623199463,0.18832898139953613,47,1
720.268,da3_marker_green,green,206.325,118.61111111111111,207,119,0.7790119176888423,-4.64018694351404e-254,-1.6829785851534886e-235,-7.61738175912992e-05,3.2236716747283936,3.218672752380371,3.162548303604126,2.194255425953865,2.0511670691337307,0.06112337112426758,1.0294162487745284,1.1725046055946629,0.0,3.2236716747283936,0.9981429576873779,0.46832895278930664,52,1
720.268,da3_marker_cyan,cyan,161.0066037735849,95.53459119496856,162,96,1.097014775860622,-4.64018694351404e-254,-1.6829785851534886e-235,-7.61738175912992e-05,3.223670482635498,3.2186713218688965,3.172219753265381,2.199095986509323,2.055445615136924,0.05145072937011719,1.0245744961261751,1.1682248674985742,0.0,3.223670482635498,1.998142957687378,0.9883289337158203,53,1
720.268,da3_marker_yellow,yellow,220.05424528301884,117.48846960167714,221,119,1.7830244333003895,-4.64018694351404e-254,-1.6829785851534886e-235,-7.61738175912992e-05,3.2236721515655518,3.218672752380371,3.162548303604126,2.194255425953865,2.0511670691337307,0.06112384796142578,1.0294167256116866,1.172505082431821,0.0,3.2236721515655518,0.6981430053710938,0.4883289337158203,53,1
720.268,da3_marker_orange,orange,181.9125,127.55555555555556,183,128,1.1748136508389497,-4.64018694351404e-254,-1.6829785851534886e-235,-7.61738175912992e-05,3.2236709594726562,3.218672513961792,3.167383909225464,2.1966756465673445,2.053305050969345,0.05628705024719238,1.0269953129053118,1.1703659085033111,0.0,3.2236709594726562,1.5381429195404053,0.26832902431488037,49,1
721.057,da3_marker_red,red,196.1880319148936,108.88888888888889,197,110,1.376175887183731,1.134613652125311e-254,-7.07178991952883e-237,-7.61738175912992e-05,3.2236714363098145,3.218672752380371,3.17463755607605,2.2003060968160626,2.056516773259803,0.04903388023376465,1.0233653394937519,1.1671546630500114,0.009671449661254883,3.2236714363098145,1.2181429862976074,0.6829032301902771,47,1
721.057,da3_marker_purple,purple,201.70053191489365,131.44444444444446,203,132,1.4132442391598858,1.134613652125311e-254,-7.07178991952883e-237,-7.61738175912992e-05,3.2236716747283936,3.218672275543213,3.1794731616973877,2.2027263174295424,2.0586609470575734,0.04419851303100586,1.0209453572988512,1.1650107276708201,0.012089252471923828,3.2236716747283936,1.0981428623199463,0.1829032301902771,47,1
721.057,da3_marker_green,green,206.325,118.90070921985816,207,120,1.2899865190399766,1.134613652125311e-254,-7.07178991952883e-237,-7.61738175912992e-05,3.2236716747283936,3.218672513961792,3.172219753265381,2.199095986509323,2.055445615136924,0.051451921463012695,1.0245756882190706,1.1682260595914697,0.009671449661254883,3.2236716747283936,0.9981429576873779,0.4629032015800476,47,1
721.057,da3_marker_cyan,cyan,161.04375,95.66666666666667,162,96,1.0126821681115599,1.134613652125311e-254,-7.07178991952883e-237,-7.61738175912992e-05,3.223670482635498,3.2186713218688965,3.1770553588867188,2.2015162071228027,2.0575885505666864,0.0466151237487793,1.0221542755126953,1.1660819320688116,0.004835605621337891,3.223670482635498,1.998142957687378,0.9829031825065613,52,1
721.057,da3_marker_yellow,yellow,219.75707547169813,117.88469601677149,221,119,1.6699593881468546,1.134613652125311e-254,-7.07178991952883e-237,-7.61738175912992e-05,3.2236721515655518,3.218672752380371,3.164966106414795,2.195465536260605,2.052235750459536,0.058706045150756836,1.028206615304947,1.1714364011060159,0.0024178028106689453,3.2236721515655518,0.6981430053710938,0.4829031825065613,53,1
721.057,da3_marker_orange,orange,181.9125,127.6548463356974,183,129,1.729767218612587,1.134613652125311e-254,-7.07178991952883e-237,-7.61738175912992e-05,3.2236709594726562,3.218672513961792,3.1770553588867188,2.2015162071228027,2.0575885505666864,0.0466156005859375,1.0221547523498535,1.1660824089059698,0.009671449661254883,3.2236709594726562,1.5381429195404053,0.26290327310562134,47,1
721.088,da3_marker_red,red,196.1880319148936,108.88888888888889,197,110,1.376175887183731,9.183858594836452e-255,-2.330351488473884e-236,-7.61738175912992e-05,3.2236714363098145,3.218672752380371,3.1988158226013184,2.2124073192119598,2.067262515876405,0.024855613708496094,1.0112641170978547,1.1564089204334094,0.024178266525268555,3.2236714363098145,1.2181429862976074,0.6828113794326782,47,1
721.088,da3_marker_purple,purple,201.70053191489365,131.44444444444446,203,132,1.4132442391598858,9.183858594836452e-255,-2.330351488473884e-236,-7.61738175912992e-05,3.2236716747283936,3.218672275543213,3.2060694694519043,2.216037769460678,2.070498387503126,0.017602205276489258,1.0076339052677157,1.1531732872252674,0.0265963077545166,3.2236716747283936,1.0981428623199463,0.18281137943267822,47,1
721.088,da3_marker_green,green,206.325,118.90070921985816,207,120,1.2899865190399766,9.183858594836452e-255,-2.330351488473884e-236,-7.61738175912992e-05,3.2236716747283936,3.218672513961792,3.1963980197906494,2.21119720890522,2.0661851658524277,0.02727365493774414,1.0124744658231735,1.1574865088759658,0.024178266525268555,3.2236716747283936,0.9981429576873779,0.46281135082244873,47,1
721.088,da3_marker_cyan,cyan,161.04375,95.66666666666667,162,96,1.0126821681115599,9.183858594836452e-255,-2.330351488473884e-236,-7.61738175912992e-05,3.223670482635498,3.2186713218688965,3.1988158226013184,2.2124073192119598,2.067262515876405,0.024854660034179688,1.0112631634235383,1.156407966759093,0.02176046371459961,3.223670482635498,1.998142957687378,0.9828113317489624,52,1
